"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술설계업체","09_28_13_P","6260000","201962600008500001","20190128","","01","영업/정상","1","인허가","","","","","0517119560","","48742","부산광역시 동구 범일동 830-296 진흥마제스타워범일 103동 3407호","부산광역시 동구 자성로133번길 6, 103동 3407호 (범일동, 진흥 마제스타워 범일)","48742","㈜세부엔지니어링","20190128122651","I","2019-01-30 02:21:05.0","","388171.887743719","184002.524603295","설계업","전문설계업1종","대한민국","0",
"2","전력기술설계업체","09_28_13_P","6260000","202262600008500001","20220420","","01","영업/정상","1","인허가","","","","","0513194119","","46977","부산광역시 사상구 괘법동 578번지 산업용품유통상가 25동 223호","부산광역시 사상구 괘감로 37, 산업용품유통상가 25동 2층 223호(괘법동)","46977","낙안기술사","20220610111815","U","2022-06-12 02:40:00.0","","380291.656000926","186303.922053702","설계업","전문설계업1종","대한민국","169978208",
"3","전력기술설계업체","09_28_13_P","6260000","201962600008500002","20190404","","01","영업/정상","1","인허가","","","","","0517595442","","48226","부산광역시 수영구 수영동 500-6","부산광역시 수영구 구락로 25 (수영동)","48226","(주)중앙기술단","20190404130855","I","2019-04-06 02:20:14.0","","393049.56785828","187762.857574099","설계업","전문설계업1종","대한민국","300000000",
"4","전력기술설계업체","09_28_13_P","6260000","201962600008500004","20190917","","01","영업/정상","1","인허가","","","","","0513265760","","47016","부산광역시 사상구 주례동 637번지 동우E&C","부산광역시 사상구 동주로16번길 46, 동우E&C (주례동)","47016","동우기술(주)","20190917165919","I","2019-09-19 02:22:30.0","","382097.942348673","184972.059820394","설계업","전문설계업1종","대한민국","500000000",
"5","전력기술설계업체","09_28_13_P","6260000","201862600008500002","20180226","","01","영업/정상","1","인허가","","","","","0518989494","","47892","부산광역시 동래구 안락동 756-13","부산광역시 동래구 충렬대로350번길 41, 3층 (안락동)","47892","티에스이엔이","20191107165324","U","2019-11-09 02:40:00.0","","","","설계업","전문설계업1종","대한민국","30000000",
"6","전력기술설계업체","09_28_13_P","6260000","201862600008500003","20180403","","01","영업/정상","1","인허가","","","","","0517833710","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈 3710호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 37층 3710호 (재송동)","48058","다안 스마트 이엔지","20190502110935","U","2019-05-04 02:40:00.0","","393519","188317","설계업","전문설계업1종","대한민국","30000000",
"7","전력기술설계업체","09_28_13_P","6260000","201862600008500005","20180615","","01","영업/정상","1","인허가","","","","","0518521355","","47560","부산광역시 연제구 연산동 302-3 노블레스스퀘어 318호","부산광역시 연제구 신금로 25, 노블레스스퀘어 318호 (연산동)","47560","(주)대림T&S","20180615093255","I","2018-08-31 23:59:59.0","","390688.337529364","190053.714543449","설계업","전문설계업2종","대한민국","125000000",
"8","전력기술설계업체","09_28_13_P","6260000","201862600008500007","20180803","","01","영업/정상","1","인허가","","","","","0518182393","","47101","부산광역시 부산진구 초읍동 360-1 성지곡삼환아파트 상가동 101호","부산광역시 부산진구 성지곡로51번길 18, 상가동 1층 101호 (초읍동, 성지곡삼환아파트)","47101","대한이씨엠(주)","20190412093736","U","2019-04-14 02:40:00.0","","386498.805337139","189587.803244801","설계업","전문설계업2종","대한민국","100000000",
"9","전력기술설계업체","09_28_13_P","6260000","201862600008500008","20180807","","01","영업/정상","1","인허가","","","","","0517147358","","46703","부산광역시 강서구 대저1동 2683-3","부산광역시 강서구 공항로 1191 (대저1동)","46703","(주)유지에스","20201124142152","U","2020-11-26 02:40:00.0","","380178","191591","설계업","전문설계업1종","대한민국","80000000",
"10","전력기술설계업체","09_28_13_P","6260000","200262600008500001","20020328","","01","영업/정상","1","인허가","","","","","0515070119","","614873","부산광역시 부산진구 초읍동   359번지 13호","부산광역시 부산진구 성지곡로51번길 27 (초읍동)","","(주)정엔지니어링","20080220140732","I","2018-08-31 23:59:59.0","","386429.088222972","189527.208126756","설계업","전문설계업1종","대한민국","",
"11","전력기술설계업체","09_28_13_P","6260000","200262600008500002","20020502","","01","영업/정상","1","인허가","","","","","0515577270","","47857","부산광역시 동래구 사직동 53-18 사직동보현타워 501호","부산광역시 동래구 석사로 35, 사직동보현타워 501호 (사직동)","47857","이호전설주식회사","20190214141247","U","2019-02-16 02:40:00.0","","387815.883450564","190921.353281659","설계업","전문설계업1종","대한민국","200000000",
"12","전력기술설계업체","09_28_13_P","6260000","200262600008500004","20021210","","01","영업/정상","1","인허가","","","","","0516364477","","601709","부산광역시 동구 범일동 830번지 295호","부산광역시 동구 자성로141번길 11 (범일동)","601709","(주)한국코아엔지니어링","20150613172025","I","2018-08-31 23:59:59.0","","388188.345022103","184059.516935515","설계업","종합설계업","대한민국","0",
"13","전력기술설계업체","09_28_13_P","6260000","200262600008500005","20021210","","01","영업/정상","1","인허가","","","","","0518073306","","614849","부산광역시 부산진구 부전1동  406번지 1호 광명빌딩 4층","부산광역시 부산진구 서면문화로 43, 4층 (부전동,광명빌딩)","614849","(주)도시이앤씨","20220107094636","U","2022-01-09 02:40:00.0","","387201.360805555","186567.130891234","설계업","전문설계업1종","대한민국","0",
"14","전력기술설계업체","09_28_13_P","6260000","200562600008500001","20030707","","01","영업/정상","1","인허가","","","","","0518667426","","611070","부산광역시 연제구 거제동  500번지 15호","부산광역시 연제구 거제대로124번길 36, 2층 (거제동)","611070","(주)해강기술단","20200622172347","U","2020-06-24 02:40:00.0","","388569.090759833","188596.789132615","설계업","전문설계업2종","대한민국","0",
"15","전력기술설계업체","09_28_13_P","6260000","200462600008500002","20040531","","01","영업/정상","1","인허가","","","","","0518679548","","","부산광역시 연제구 연산동 1492번지 16호","부산광역시 연제구 월드컵대로145번길 102, 2층 (연산동)","47541","(주)디에이치기술단","20210122091712","U","2021-01-24 02:40:00.0","","389194.573056155","189002.258602371","설계업","전문설계업1종","대한민국","0",
"16","전력기술설계업체","09_28_13_P","6260000","200562600008500004","19970506","","01","영업/정상","1","인허가","","","","","0514419070","","614827","부산광역시 부산진구 범천동 842번지 2호 두산위브센티움 301호","부산광역시 부산진구 자유평화로37번길 67, 3층 301호 (범천동,두산위브센티움)","614827","(주)이정이앤씨","20131115103000","I","2018-08-31 23:59:59.0","","387888.649317348","184739.05836488","설계업","전문설계업1종","대한민국","0",
"17","전력기술설계업체","09_28_13_P","6260000","199762600008500003","19970510","","01","영업/정상","1","인허가","","","","","0518082750","","614865","부산광역시 부산진구 전포2동   194번지 27호 남경빌딩2층","부산광역시 부산진구 전포대로 242 (전포동,남경빌딩2층)","","보원엔지니어링(주)","20110307103552","I","2018-08-31 23:59:59.0","","388153.884601013","186287.197415739","설계업","전문설계업1종","대한민국","0",
"18","전력기술설계업체","09_28_13_P","6260000","200662600008500007","20060908","","01","영업/정상","1","인허가","","","","","0515574266","","47887","부산광역시 동래구 수안동 40-14 해성퓨리즈빌딩","부산광역시 동래구 온천천로337번길 25, 해성퓨리즈빌딩 3층 (수안동)","47887","(주)한국나이스기술단","20200213171218","U","2020-02-15 02:40:00.0","","390210.4238401","190432.797234886","설계업","전문설계업1종","대한민국","100000000",
"19","전력기술설계업체","09_28_13_P","6260000","200762600008500006","20071112","","01","영업/정상","1","인허가","","","","","0519132000","","48045","부산광역시 해운대구 반여동 1095-22","부산광역시 해운대구 삼어로133번나길 14(반여동)","48045","(주)우일엔지니어링","20220317110423","U","2022-03-19 02:40:00.0","","392832.20787328","191946.572654354","설계업","전문설계업1종","대한민국","30000000",
"20","전력기술설계업체","09_28_13_P","6260000","200762600008500007","20071123","","01","영업/정상","1","인허가","","","","","0515567266","","","부산광역시 부산진구 연지동 41번지 40호","부산광역시 부산진구 동평로 277, 2층 (연지동)","47123","이호기술단(주)","20200317124136","U","2020-03-19 02:40:00.0","","387372.299347705","187727.366163112","설계업","종합설계업","대한민국","0",
"21","전력기술설계업체","09_28_13_P","6260000","200762600008500008","20071213","","01","영업/정상","1","인허가","","","","","0515066677","","607813","부산광역시 동래구 사직3동   147번지 79호","부산광역시 동래구 여고로127번길 23 (사직동)","","(주)성림기술단","20071213133437","I","2018-08-31 23:59:59.0","","388992.767238733","190936.058615257","설계업","전문설계업2종","대한민국","10082000",
"22","전력기술설계업체","09_28_13_P","6260000","200862600008500001","20080325","","01","영업/정상","1","인허가","","","","","0515574265","","","부산광역시 동래구 수안동 41번지 6호 삼운빌딩","부산광역시 동래구 수안로8번길 12, 4층 (수안동,삼운빌딩)","47887","(주)더베스트이앤씨","20180307113948","I","2018-08-31 23:59:59.0","","390135.290029165","190379.346493464","설계업","전문설계업1종","대한민국","10000000",
"23","전력기술설계업체","09_28_13_P","6260000","200962600008500001","20090220","","01","영업/정상","1","인허가","","","","","0517140019","","46981","부산광역시 사상구 감전동 132-7 부산디지털밸리 1105호","부산광역시 사상구 대동로 303, 부산디지털밸리 1105호 (감전동)","46981","(주)드림종합기술단","20220314173639","U","2022-03-16 02:40:00.0","","380981.41459300000","186059.08147100000","설계업","전문설계업1종","대한민국","61838316",
"24","전력기술설계업체","09_28_13_P","6260000","201062600008500001","20100322","","01","영업/정상","1","인허가","","","","","0515027806","","47743","부산광역시 동래구 명륜동 673-12 대월오피스텔 801호","부산광역시 동래구 명륜로 175, 대월오피스텔 8층 801호 (명륜동)","47743","엘티유이엔지","20200716111314","U","2020-07-18 02:40:00.0","","389533.720223093","192019.21254215","설계업","전문설계업1종","대한민국","30000000",
"25","전력기술설계업체","09_28_13_P","6260000","201062600008500002","20100324","","01","영업/정상","1","인허가","","","","","0517220855","","619906","부산광역시 기장군 기장읍 174번지 3호","부산광역시 기장군 기장읍 청강로85번길 16","619906","대경기술(주)","20130625135035","I","2018-08-31 23:59:59.0","","402151.771230132","195569.971287865","설계업","전문설계업1종","대한민국","0",
"26","전력기술설계업체","09_28_13_P","6260000","201162600008500001","20110628","","01","영업/정상","1","인허가","","","","","0514627471","","601836","부산광역시 동구 초량3동  1153번지 14호","부산광역시 동구 중앙대로320번길 3-2 (초량동)","601836","(주)일신전기감리","20160203163601","I","2018-08-31 23:59:59.0","","386410.654229382","182547.99559442","설계업","전문설계업2종","","100000000",
"27","전력기술설계업체","09_28_13_P","6260000","200362600008500001","20030106","","01","영업/정상","1","인허가","","","","","0518070119","","614862","부산광역시 부산진구 전포2동  170번지 1호 서면한신하이텔 703호","부산광역시 부산진구 전포대로 294, 703호 (전포동,서면한신하이텔)","614862","대원포비스(주)","20120220093052","I","2018-08-31 23:59:59.0","","388211.357283308","186804.440373642","설계업","전문설계업1종","대한민국","",
"28","전력기술설계업체","09_28_13_P","6260000","201362600008500001","20130724","","01","영업/정상","1","인허가","","","","","0518086906","","611802","부산광역시 연제구 거제1동  89번지 61호","부산광역시 연제구 교대로22번길 4 (거제동)","611802","(주)욱동방재","20130724163317","I","2018-08-31 23:59:59.0","","389123.951556564","190485.92641281","설계업","전문설계업1종","대한민국","151604062",
"29","전력기술설계업체","09_28_13_P","6260000","201162600008500002","20110412","","01","영업/정상","1","인허가","","","","","07086726099","","","부산광역시 해운대구 재송동 1210번지  307호","부산광역시 해운대구 센텀동로 99, 307호 (재송동)","48059","연디자인","20160204102546","I","2018-08-31 23:59:59.0","","393553.326853219","188402.465080284","설계업","전문설계업2종","대한민국","30437852",
"30","전력기술설계업체","09_28_13_P","6260000","201362600008500003","20131204","","01","영업/정상","1","인허가","","","","","0513238151","","614875","부산광역시 부산진구 가야동 60번지 21호 4층","부산광역시 부산진구 가야대로507번길 130, 4층 (가야동)","614875","주호E&C","20131216111248","I","2018-08-31 23:59:59.0","","385176.737186745","185974.672147856","설계업","전문설계업1종","대한민국","30000000",
"31","전력기술설계업체","09_28_13_P","6260000","200662600008500005","20060413","","01","영업/정상","1","인허가","","","","","0515034377","","607839","부산광역시 동래구 온천3동   1350번지 4호 한사랑APT상가401호","부산광역시 동래구 아시아드대로255번가길 8-8 (온천동,한사랑APT상가401호)","","(주)동지종합엔지니어링","20100115142745","I","2018-08-31 23:59:59.0","","388177.413188437","191828.945228238","설계업","전문설계업1종","대한민국","56000000",
"32","전력기술설계업체","09_28_13_P","6260000","200262600008500003","20020508","","01","영업/정상","1","인허가","","","","","0517827500","","612050","부산광역시 해운대구 재송동   1210번지 벽산이-센텀클래스원 1308호","부산광역시 해운대구 센텀동로 99 (재송동,벽산이-센텀클래스원 1308호)","","(주)선진이엔지","20110804105905","I","2018-08-31 23:59:59.0","","393553.326853219","188402.465080284","설계업","전문설계업1종","대한민국","0",
"33","전력기술설계업체","09_28_13_P","6260000","200562600008500002","20050114","","01","영업/정상","1","인허가","","","","","0514693119","","601827","부산광역시 동구 초량3동  135번지 48호","부산광역시 동구 초량중로 99-3 (초량동)","601827","금정엔지니어링(주)","20131226141255","I","2018-08-31 23:59:59.0","","385872.188077484","182068.435002445","설계업","전문설계업1종","대한민국","0",
"34","전력기술설계업체","09_28_13_P","6260000","199762600008500001","19970402","","01","영업/정상","1","인허가","","","","","0512548141","","600803","부산광역시 중구 보수동1가  145번지 28호 한신스포렉스 901호","부산광역시 중구 고가길 32, 901호 (보수동1가,한신스포렉스)","600803","(주)한신콘설탄트","20151102194655","I","2018-08-31 23:59:59.0","","384753.432651155","180176.033804153","설계업","종합설계업","대한민국","0",
"35","전력기술설계업체","09_28_13_P","6260000","200762600008500005","20070903","","01","영업/정상","1","인허가","","","","","0516370316","","607834","부산광역시 동래구 온천1동 474번지 19호  403호","부산광역시 동래구 동래로19번길 2, 403호 (온천동)","607834","(주)한국엔지니어링","20140829163202","I","2018-08-31 23:59:59.0","","389156.480753965","192373.526379535","설계업","전문설계업1종","대한민국","38766000",
"36","전력기술설계업체","09_28_13_P","6260000","201462600008500002","20140314","","01","영업/정상","1","인허가","","","","","0515574245","","607823","부산광역시 동래구 수안동  40번지 2호","부산광역시 동래구 온천천로319번길 12 (수안동)","607823","(주)한국나이스이엔지","20140314092501","I","2018-08-31 23:59:59.0","","390144.111432534","190453.524937101","설계업","전문설계업2종","대한민국","50000000",
"37","전력기술설계업체","09_28_13_P","6260000","201462600008500004","20140526","","01","영업/정상","1","인허가","","","","","0517140074","","607817","부산광역시 동래구 사직동 104번지 7호","부산광역시 동래구 아시아드대로 111-1, 3층 (사직동)","607817","(주)중앙엔지니어링건축사사무소","20160406155332","I","2018-08-31 23:59:59.0","","388100.494333843","190320.753470036","설계업","전문설계업1종","대한민국","510000000",
"38","전력기술설계업체","09_28_13_P","6260000","201462600008500005","20140619","","01","영업/정상","1","인허가","","","","","07088537974","","47209","부산광역시 부산진구 양정동 252-1","부산광역시 부산진구 거제천로 52, 5층(양정동)","47209","(주)진일기술단","20210927141830","U","2021-09-29 02:40:00.0","","388662.131505051","188609.481783559","설계업","전문설계업1종","대한민국","30000000",
"39","전력기술설계업체","09_28_13_P","6260000","201462600008500007","20141021","","01","영업/정상","1","인허가","","","","","0518187340","","48494","부산광역시 남구 대연동 892-10 대성맨션 상가동 110호","부산광역시 남구 유엔로 127-2, 대성맨션 상가동 1층 110호호 (대연동)","48494","(주)골드이엔지","20210624131658","U","2021-06-26 02:40:00.0","","390421.628061896","183263.851233042","설계업","전문설계업1종","대한민국","120000000",
"40","전력기술설계업체","09_28_13_P","6260000","199762600008500002","19970407","","01","영업/정상","1","인허가","","","","","0515588041","","607829","부산광역시 동래구 안락1동   633번지 44호 안락빌딩4층","부산광역시 동래구 안연로 56 (안락동,안락빌딩4층)","","(주)동영","20091026113914","I","2018-08-31 23:59:59.0","","391150.163527661","190145.061792969","설계업","전문설계업1종","대한민국","",
"41","전력기술설계업체","09_28_13_P","6260000","201562600008500001","20150109","","01","영업/정상","1","인허가","","","","","0515011193","","607839","부산광역시 동래구 온천동 1350번지 한사랑@상가 401호","부산광역시 동래구 아시아드대로255번가길 8-9, 401호 (온천동,한사랑@상가)","607839","(주)현대이엔지","20150109161439","I","2018-08-31 23:59:59.0","","388145.747561927","191865.158754271","설계업","전문설계업1종","대한민국","50000000",
"42","전력기술설계업체","09_28_13_P","6260000","201562600008500002","20150211","","01","영업/정상","1","인허가","","","","","0519268832","","47877","부산광역시 동래구 수안동 166-9 태웅빌딩 502호","부산광역시 동래구 충렬대로238번길 31, 태웅빌딩 502호 (수안동)","47877","(주)와이앤제이이앤씨","20180202110515","I","2018-08-31 23:59:59.0","","389825.202958159","190963.837138882","설계업","전문설계업1종","","100000000",
"43","전력기술설계업체","09_28_13_P","6260000","201562600008500005","20150908","","01","영업/정상","1","인허가","","","","","0512411656","","","부산광역시 중구 보수동1가 116번지 15호  903호","부산광역시 중구 고가길 32, 903호 (보수동1가)","48967","(주)엠피코씨엠","20150908141856","I","2018-08-31 23:59:59.0","","384758.478990296","180165.17593179","설계업","전문설계업1종","대한민국","1005000000",
"44","전력기술설계업체","09_28_13_P","6260000","201662600008500001","20160120","","01","영업/정상","1","인허가","","","","","0517146417","","","부산광역시 연제구 연산동 1310번지 20호 토목회관","부산광역시 연제구 중앙대로1050번길 5, 지하층 (연산동,토목회관)","47598","(주)청림이앤씨","20190312130051","U","2019-03-14 02:40:00.0","","389322.05480288","188948.591685089","설계업","전문설계업2종","대한민국","100000000",
"45","전력기술설계업체","09_28_13_P","6260000","201662600008500002","20160401","","01","영업/정상","1","인허가","","","","","0516441744","","","부산광역시 동래구 낙민동 77번지 1호 한일유앤아이아파트 107동 202호","부산광역시 동래구 온천천로339번길 28, 107동 202호 (낙민동,한일유앤아이아파트)","47886","(주)장인기술단","20160401101219","I","2018-08-31 23:59:59.0","","390440.372777095","190466.87922002","설계업","전문설계업1종","","50000000",
"46","전력기술설계업체","09_28_13_P","6260000","201562600008500007","20151119","","01","영업/정상","1","인허가","","","","","0515066051","","","부산광역시 연제구 거제동 500번지 12호","부산광역시 연제구 거제대로118번길 27, 3층 (거제동)","47547","(주)효성기술단","20170627161150","I","2018-08-31 23:59:59.0","","388538.533591728","188568.966252015","설계업","전문설계업2종","대한민국","62872300",
"47","전력기술설계업체","09_28_13_P","6260000","200562600008500006","20050721","","01","영업/정상","1","인허가","","","","","0518688577","","","부산광역시 연제구 연산동 1366번지 1호 더&#49406;시티애비뉴2차 203동 602호","부산광역시 연제구 시청로 12, 203동 602호 (연산동,더&#49406;시티애비뉴2차)","47542","(주)미래기술이엔지","20170613110333","I","2018-08-31 23:59:59.0","","389031.59363925","188864.606620072","설계업","전문설계업2종","대한민국","0",
"48","전력기술설계업체","09_28_13_P","6260000","200162600008500002","20010118","","01","영업/정상","1","인허가","","","","","0518173931","","614869","부산광역시 부산진구 전포1동  690번지 7호","부산광역시 부산진구 전포대로199번길 15, 3층 (전포동,현대타워오피스텔)","614869","(주)삼영기술","20120417173451","I","2018-08-31 23:59:59.0","","388022.481221191","185844.723433596","설계업","전문설계업1종","대한민국","0",
"49","전력기술설계업체","09_28_13_P","6260000","200562600008500007","20051221","","01","영업/정상","1","인허가","","","","","0513297766","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈, 에이동 1905호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 1905호 (재송동)","48058","(주)나이스에너지엔지니어링","20171110134941","I","2018-08-31 23:59:59.0","","393519","188317","설계업","전문설계업1종","대한민국","150000000",
"50","전력기술설계업체","09_28_13_P","6260000","200662600008500001","20060116","","01","영업/정상","1","인허가","","","","","0518175417","","611839","부산광역시 연제구 연산5동   1310번지 20호 토목회관3","부산광역시 연제구 중앙대로1050번길 5 (연산동,토목회관3)","","(주)부흥이앤씨","20110707142754","I","2018-08-31 23:59:59.0","","389322.05480288","188948.591685089","설계업","전문설계업1종","대한민국","100000000",
"51","전력기술설계업체","09_28_13_P","6260000","199962600008500002","19990609","","01","영업/정상","1","인허가","","","","","0518182391","","47251","부산광역시 부산진구 부전동 341-5 삼정기업빌딩 1601호","부산광역시 부산진구 중앙대로775번길 5, 삼정기업빌딩 1601호 (부전동)","47251","(주)광명토탈엔지니어링","20190902143751","U","2019-09-04 02:40:00.0","","387750.084943642","186671.210186448","설계업","전문설계업1종","대한민국","0",
"52","전력기술설계업체","09_28_13_P","6260000","200062600008500001","20000208","","01","영업/정상","1","인허가","","","","","0514657972","","","부산광역시 부산진구 양정동 252번지 1호 세종빌딩","부산광역시 부산진구 거제천로 52, 전층 (양정동,세종빌딩)","47209","(주)세종기술단","20161121142146","I","2018-08-31 23:59:59.0","","388662.131505051","188609.481783559","설계업","전문설계업1종","대한민국","0",
"53","전력기술설계업체","09_28_13_P","6260000","201762600008500002","20170111","","01","영업/정상","1","인허가","","","","","0517607600","","","부산광역시 수영구 광안동 536번지 140호 거원빌딩","부산광역시 수영구 광일로29번길 68, 4층 (광안동,거원빌딩)","48252","(주)거원엔지니어링","20200115173037","U","2020-01-17 02:40:00.0","","392224.467985294","186512.809983141","설계업","전문설계업2종","대한민국","0",
"54","전력기술설계업체","09_28_13_P","6260000","201762600008500003","20170627","","01","영업/정상","1","인허가","","","","","0518320533","","","부산광역시 강서구 생곡동 1599번지 8호","부산광역시 강서구 가달2로 24 (생곡동)","46729","(주)제이케이알에스티","20170627113802","I","2018-08-31 23:59:59.0","","371075.638604429","183594.649190919","설계업","전문설계업1종","대한민국","120000000",
"55","전력기술설계업체","09_28_13_P","6260000","201762600008500004","20170707","","01","영업/정상","1","인허가","","","","","0515066900","","47838","부산광역시 동래구 온천동 1378-9 대화빌 201호","부산광역시 동래구 여고북로73번길 34, 201호(온천동, 대화빌)","47838","규영플랜","20220519100222","U","2022-05-21 02:40:00.0","","388349.820160974","191161.835111003","설계업","전문설계업1종","대한민국","50582000",
"56","전력기술설계업체","09_28_13_P","6260000","201762600008500006","20170905","","01","영업/정상","1","인허가","","","","","0513297000","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈, 에이동 1907호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 1907호 (재송동)","48058","(주)나이스에너지","20201116104203","U","2020-11-18 02:40:00.0","","393519","188317","설계업","전문설계업1종","대한민국","50000000",
"57","전력기술설계업체","09_28_13_P","6260000","201162600008500003","20110414","","01","영업/정상","1","인허가","","","","","07050916143","","","부산광역시 동래구 온천동 1422번지 23호 제트원타워 705호","부산광역시 동래구 아시아드대로 256-5, 705호 (온천동,제트원타워)","47837","(주)여명기술단","20170920110624","I","2018-08-31 23:59:59.0","","388358.888911048","191644.568313121","설계업","전문설계업1종","대한민국","150000000",
