"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","종업원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"1","물류창고업체","11_45_02_P","6260000","2019S62600000001","20190607","","01","영업/정상","1","등록","","","","","0516325449","","46747","부산광역시 강서구 미음동 232-6","부산광역시 강서구 미음국제2로 35 (미음동)","46747","(주)에이스유니폼","20210413112252","U","2021-04-15 02:40:00.0","","","","3","8638.9","0","0","0","17","지게차, 파워롤러컨베어, 화물승강기","","개인","1","","","",
"2","물류창고업체","11_45_02_P","6260000","2019S62600000002","20190821","","01","영업/정상","1","등록","","","","","0517111901","","46749","부산광역시 강서구 지사동 1393-5","부산광역시 강서구 과학산단로333번길 77-69 (지사동)","46749","(주)대성상사지엘에스","20200902152844","U","2020-09-04 02:40:00.0","","","","1","2565.05","0","0","0","7","지게차 3대, 화물엘레베이터 2대, 일반엘레베이터 1대 등","","개인","1","","","",
"3","물류창고업체","11_45_02_P","6260000","2012S62600000001","20120605","","01","영업/정상","1","등록","","","","","0514635411","","601838","부산광역시 동구 초량동 1188번지 1호","부산광역시 동구 중앙대로248번길 7-6 (초량동)","","씨제이대한통운(주)","20220428174221","U","2022-04-30 02:40:00.0","","386207.626981557","181890.323961778","1","1411.8","0","0","0","1","자가","","개인","","","","",
"4","물류창고업체","11_45_02_P","6260000","2012S62600000003","20120710","","01","영업/정상","1","등록","","","","","0516236887","","608829","부산광역시 남구 용당동 128번지 4호","부산광역시 남구 신선로356번길 9 (용당동)","","비엘로직스 (주)","20180222150707","I","2018-08-31 23:59:59.0","","391130.298566224","181927.519239665","1","2680.1","0","0","0","1","임차","","개인","1","1","","",
"5","물류창고업체","11_45_02_P","6260000","2012S62600000005","20120719","","01","영업/정상","1","등록","","","","","0516303611","","604866","부산광역시 사하구 구평동 427번지 30호","부산광역시 사하구 감천항로291번길 18 (구평동)","","동원로엑스(주)","20211230140616","U","2022-01-01 02:40:00.0","","381511.900980613","175991.019419","1","11123","0","0","21816","1","임차","","개인","1","","","",
"6","물류창고업체","11_45_02_P","6260000","2012S62600000006","20120719","","01","영업/정상","1","등록","","","","","0519143355","","48755","부산광역시 동구 좌천동 68-58 대양산업","부산광역시 동구 성남로 66, 대양산업 (좌천동)","48755","롯데글로벌로지스 (주)","20181210183024","U","2018-12-12 02:40:00.0","","387375.660847975","183216.302382238","1","2151.29","0","0","0","1","임차","","개인","1","","","",
"7","물류창고업체","11_45_02_P","6260000","2012S62600000007","20120727","","01","영업/정상","1","등록","","","","","0517117711","","602030","부산광역시 서구 암남동 723번지","부산광역시 서구 원양로 63 (암남동)","","(주)서부물산","20171116142029","I","2018-08-31 23:59:59.0","","383174.987768835","175469.439982525","1","2677","0","0","0","1","자가","","개인","1","","","",
"8","물류창고업체","11_45_02_P","6260000","2012S62600000008","20120730","","01","영업/정상","1","등록","","","","","0516451001","","46751","부산광역시 강서구 송정동 1512-2 부산물류터미널(주)내화물창고 1동","부산광역시 강서구 녹산산업북로 119, 부산물류터미널(주)내화물창고 1동 (송정동)","46751","천일정기화물자동차(주)","20210628154550","U","2021-06-30 02:40:00.0","","367454.564232222","179343.014764116","1","1349","0","0","0","1","임차","","개인","1","","","",
"9","물류창고업체","11_45_02_P","6260000","2012S62600000012","20120731","","01","영업/정상","1","등록","","","","","0519907707","","604836","부산광역시 사하구 신평동 370번지 37호","부산광역시 사하구 을숙도대로 520 (신평동)","","씨제이대한통운(주)","20220413154300","U","2022-04-15 02:40:00.0","","378744.116114218","177858.768018818","1","5124","0","0","0","1","임차","","개인","","","","",
"10","물류창고업체","11_45_02_P","6260000","2012S62600000013","20120731","","01","영업/정상","1","등록","","","","","0516441401","","609360","부산광역시 금정구 노포동 829번지","부산광역시 금정구 노포사송로 27 (노포동)","","한국농수산식품유통공사","20210610171340","U","2021-06-12 02:40:00.0","","390172.423142493","200003.414252398","1","3306","0","0","0","1","임차","","개인","","","","",
"11","물류창고업체","11_45_02_P","6260000","2012S62600000014","20120731","","01","영업/정상","1","등록","","","","","0516441401","","617845","부산광역시 사상구 학장동 574번지 72호","부산광역시 사상구 대동로 116 (학장동)","","한국농수산식품유통공사","20210610171449","U","2021-06-12 02:40:00.0","","380459.906103674","184020.923040299","1","3306","0","0","0","1","임차","","개인","","","","",
"12","물류창고업체","11_45_02_P","6260000","2012S62600000016","20120801","","01","영업/정상","1","등록","","","","","0518326310","","618818","부산광역시 강서구 송정동 1540번지 2호 조선기자재공동물류센터 0동","부산광역시 강서구 송정길 26, 0동 (송정동,조선기자재공동물류센터)","","부산조선해양기자재","20200504172304","U","2020-05-06 02:40:00.0","","367778.41698672","179326.717807079","1","18874","0","0","0","1","자가","","개인","","","","",
"13","물류창고업체","11_45_02_P","6260000","2012S62600000019","20120803","","01","영업/정상","1","등록","","","","","0519050017","","617805","부산광역시 사상구 감전동 506번지 3호","부산광역시 사상구 낙동대로882번길 17 (감전동)","","(주)한진(서부산센터)","20220303154954","U","2022-03-05 02:40:00.0","","379627.807131834","184079.276110814","1","2926","0","0","0","1","자가","","개인","","","","",
"14","물류창고업체","11_45_02_P","6260000","2012S62600000023","20120803","","01","영업/정상","1","등록","","","","","0516305314","","604866","부산광역시 사하구 구평동 427번지 30호","부산광역시 사하구 감천항로291번길 18 (구평동)","","세방(주)","20190510152948","U","2019-05-12 02:40:00.0","","381511.900980613","175991.019419","1","11707","0","0","21209","1","임차","","개인","","","","",
"15","물류창고업체","11_45_02_P","6260000","2012S62600000025","20120803","","01","영업/정상","1","등록","","","","","07077186822","","618817","부산광역시 강서구 송정동 1512번지 2호","부산광역시 강서구 녹산산업북로 119 (송정동)","","(주)하나물류12","20171116141621","I","2018-08-31 23:59:59.0","","367454.564232222","179343.014764116","1","1349","0","0","0","1","임차","","개인","","","","",
"16","물류창고업체","11_45_02_P","6260000","2012S62600000026","20120806","","01","영업/정상","1","등록","","","","","0515323900","","612070","부산광역시 해운대구 석대동 591번지 10호","부산광역시 해운대구 반송로 596 (석대동)","","(주)세양물류","20180222150610","I","2018-08-31 23:59:59.0","","393622.630112613","193185.073814653","0","0","0","0","23368","1","임차","","개인","","","","",
"17","물류창고업체","11_45_02_P","6260000","2012S62600000027","20120831","","01","영업/정상","1","등록","","","","","07042592362","","619961","부산광역시 기장군 정관면 1039번지 8호","부산광역시 기장군 정관면 산단1로 12","","한일기업","20210902091526","U","2021-09-04 02:40:00.0","","398105.45924300000","204312.77985800000","3","4142.96","0","0","0","1","자가","","개인","","","","",
"18","물류창고업체","11_45_02_P","6260000","2012S62600000028","20120831","","01","영업/정상","1","등록","","","","","0519713650","","618350","부산광역시 강서구 봉림동 956번지 11호","부산광역시 강서구 봉림길203번길 213 (봉림동)","","대저정미소","20171227160634","I","2018-08-31 23:59:59.0","","372577.143542513","187028.379832745","1","3299","0","0","0","1","자가","","개인","","","","",
"19","물류창고업체","11_45_02_P","6260000","2015S62600000001","20150414","","01","영업/정상","1","등록","","","","","0512615331","","604843","부산광역시 사하구 장림1동  316번지 16호","부산광역시 사하구 장평로 174 (장림동)","","대영물산(주)","20171116141442","I","2018-08-31 23:59:59.0","","379893.314773561","177635.457070204","0","0","1","1151.47","0","8","냉동,냉장설비","300,000원/㎡","개인","1","","","",
"20","물류창고업체","11_45_02_P","6260000","2016S62600000001","20160128","","01","영업/정상","1","등록","","","","","","","","부산광역시 사상구 학장동 725번지 4호 725-5(포함)","부산광역시 사상구 장인로77번길 69 (학장동)","","씨제이대한통운(주)","20220413154459","U","2022-04-15 02:40:00.0","","380105.77662477","184702.733602538","1","695.96","0","0","4710.09","5","컨베이어시스템 등","","개인","","","","",
"21","물류창고업체","11_45_02_P","6260000","2016S62600000002","20160525","","01","영업/정상","1","등록","","","","","0516671511","","","부산광역시 동구 범일동 825번지 13호","부산광역시 동구 자성로140번길 53 (범일동)","48748","(주)복산나이스","20210924142058","U","2021-09-26 02:40:00.0","","388029.359872308","183733.580507976","1","8388.28","0","0","0","111","면적:8,388.28","","개인","","","","",
"22","물류창고업체","11_45_02_P","6260000","2017S62600000001","20170208","","01","영업/정상","1","등록","","","","","0517404021","","","부산광역시 기장군 장안읍 명례리 926번지 5호","부산광역시 기장군 장안읍 명례산단3로 9","46028","(주)이렌컴서비스 물류센터","20171116141055","I","2018-08-31 23:59:59.0","","404932.118871365","209925.39293137","2","5908.57","0","0","0","1","화물엘리베이터1대, 지게차1대","3.3제곱미터당 20,000원","개인","1","","","",
"23","물류창고업체","11_45_02_P","6260000","2017S62600000002","20170531","","01","영업/정상","1","등록","","","","","0516456360","","","부산광역시 금정구 회동동 147번지 1호","부산광역시 금정구 동천로7번길 80 (회동동)","","대상 주식회사","20210621170430","U","2021-06-23 02:40:00.0","","393275.42353625","194303.583730541","1","3911","1","4507","0","46","냉동 냉장설비, 랙, 지게차","3.8","개인","1","","","",
"24","물류창고업체","11_45_02_P","6260000","2017S62600000003","20170718","","01","영업/정상","1","등록","","","","","0234954243","","","부산광역시 강서구 생곡동 1594번지 1호","부산광역시 강서구 가달1로 26 (생곡동)","","주식회사 케이티","20171116141001","I","2018-08-31 23:59:59.0","","370699.24834801","183876.551270934","2","12943.85","0","0","0","12","2개동 건물, 사무실, 펌프장비, 변압기, 비상발전기 등","평당 2만원","개인","1","","","",
"25","물류창고업체","11_45_02_P","6260000","2021S62600000005","20210826","","01","영업/정상","1","등록","","","","","0513130331","","47028","부산광역시 사상구 감전동 172-7 (주)재우철강","부산광역시 사상구 낙동대로 964, (주)재우철강 1동(감전동)","47028","(주)유진기전","20211129135510","U","2021-12-01 02:40:00.0","","379528.718889265","184814.728941163","1","1093.68","0","0","0","8","크레인 6대","","개인","1","","","",
"26","물류창고업체","11_45_02_P","6260000","2021S62600000003","20210507","","01","영업/정상","1","등록","","","","","0517195282","","46747","부산광역시 강서구 미음동 1672-3 CJ대한통운(주) 1동","부산광역시 강서구 미음국제4로 28, CJ대한통운(주) 1동 (미음동)","46747","CJ대한통운(주)","20220419164326","U","2022-04-21 02:40:00.0","","","","1","2397.63","0","0","0","5","켄베이어 라인","","개인","","","","",
"27","물류창고업체","11_45_02_P","6260000","2021S62600000004","20210607","","01","영업/정상","1","등록","","","","","0519907759","","49471","부산광역시 사하구 신평동 370-180","부산광역시 사하구 하신번영로 28 (신평동)","49471","씨제이대한통운(주)  서부산지사 사하SUB","20220413154633","U","2022-04-15 02:40:00.0","","","","1","2927.55","0","0","0","10","컨베이어 라인","","개인","","1","","",
"28","물류창고업체","11_45_02_P","6260000","2020S62600000001","20200925","","01","영업/정상","1","등록","","","","","0519471074","","46727","부산광역시 강서구 범방동 1921-6 부산비축기지","부산광역시 강서구 가리새3로 37, 부산비축기지 (범방동)","46727","한국농수산식품유통공사","20210409181030","U","2021-04-11 02:40:00.0","","","","0","0","2","9957.91","0","6","냉동기 297.54RT*3대","","개인","1","","","",
"29","물류창고업체","11_45_02_P","6260000","2018S62600000001","20181025","","01","영업/정상","1","등록","","","","","0518314611","","46727","부산광역시 강서구 범방동 1911-15","부산광역시 강서구 범방3로 10 (범방동)","46727","(주)태성비철","20181025140234","I","2018-10-27 02:38:00.0","","371124","184422","1","2815.2","0","0","0","12","호이스트(2.5톤) 3대 / 지게차(3톤) 3대","","개인","1","","","",
"30","물류창고업체","11_45_02_P","6260000","2020S62600000002","20201223","","01","영업/정상","1","등록","","","","","0516322143","","48481","부산광역시 남구 감만동 521-10 (주)한진감만동택배터미널","부산광역시 남구 북항로 132, (주)한진감만동택배터미널 (감만동)","48481","(주)한진","20220303154320","U","2022-03-05 02:40:00.0","","389524.446933068","180891.186769773","1","16461.73","0","0","0","5","집배송시설, 화물EV 2기","18,000원/평","개인","1","","","",
"31","물류창고업체","11_45_02_P","6260000","2021S62600000002","20210204","","01","영업/정상","1","등록","","","","","0519907750","","46033","부산광역시 기장군 장안읍 좌동리 957-2 씨제이대한통운(주)동부산지점","부산광역시 기장군 장안읍 반룡산단로 102, 씨제이대한통운(주)동부산지점","46033","씨제이대한통운(주)","20220428174058","U","2022-04-30 02:40:00.0","","","","1","1829","0","0","0","3","컨베이어 라인","1600~4000원 box","개인","1","1","","",
"32","물류창고업체","11_45_02_P","6260000","2021S62600000001","20210122","","01","영업/정상","1","등록","","","","","0516305319","","46747","부산광역시 강서구 미음동 1639-10","부산광역시 강서구 미음국제5로마길 7, 태영코퍼레이션 (미음동)","46747","세방(주)","20210126194054","U","2021-01-28 02:40:00.0","","","","1","1421.08","0","0","0","9","전동기게차 1대","파레트 당 18,000원/월","개인","1","","","",
"33","물류창고업체","11_45_02_P","6260000","2022S62600000001","20220510","","01","영업/정상","1","등록","","","","","0519790008","","46747","부산광역시 강서구 미음동 1656-2","부산광역시 강서구 미음국제2로 59(미음동)","46747","(주)지소프트웨어뱅크코리아","20220510084757","I","2022-05-12 00:22:32.0","","","","1","44206.76","0","0","0","2","보관시설 1동 44,206.76","","개인","","","","",
"34","물류창고업체","11_45_02_P","6260000","2022S62600000002","20220517","","01","영업/정상","1","등록","","","","","0519790008","","46747","부산광역시 강서구 미음동 1656-2","부산광역시 강서구 미음국제2로 59(미음동)","46747","(주)동방물류센터","20220517083923","I","2022-05-19 00:22:31.0","","","","1","32665.27","0","0","0","40","일반창고 1동 32,665.27","","개인","","","","",
"35","물류창고업체","11_45_02_P","6260000","2012S62600000004","20120719","","03","폐업","3","폐업","","","","","0514056161","","606818","부산광역시 영도구 청학동 1번지 46호 SK네트웍스 부산물류센터","부산광역시 영도구 해양로 168, 0동 (청학동,SK네트웍스부산물류센터)","","SK네트웍스(주)","20180723114025","I","2018-08-31 23:59:59.0","","388678.196320683","178832.713900706","1","2436","0","0","0","1","자가","","개인","1","","","",
"36","물류창고업체","11_45_02_P","6260000","2012S62600000009","20120730","","03","폐업","3","폐업","20160226","","","","0519707129","","","부산광역시 강서구 송정동 1623번지 2호 삼성전지(주)내 한솔CSN(주) 0동","부산광역시 강서구 녹산산업중로 333, 0동 (송정동,삼성전지(주)내한솔CSN(주))","","한솔로지스틱스(주)","20160302162506","I","2018-08-31 23:59:59.0","","369169.330139889","178979.319940248","1","3591","0","0","0","1","임차","","개인","","","","",
"37","물류창고업체","11_45_02_P","6260000","2012S62600000010","20120730","","03","폐업","3","폐업","","","","","0232877483","","","부산광역시 부산진구 개금동 297번지","부산광역시 부산진구 개금온정로26번가길 7 (개금동)","","한솔로지스틱스(주)","20160128140352","I","2018-08-31 23:59:59.0","","384562.399610928","185983.509155562","1","2250","0","0","0","1","임차","","개인","","","","",
"38","물류창고업체","11_45_02_P","6260000","2012S62600000011","20120731","","03","폐업","3","폐업","20150713","","","","0519907725","","617804","부산광역시 사상구 감전동 172번지 2호 CJ GLS제약센터 0동","부산광역시 사상구 낙동대로970번길 30, 0동 (감전동,CJGLS제약센터)","","씨제이대한통운(주)","20150713114326","I","2018-08-31 23:59:59.0","","379614.283439791","184827.759153089","1","1650","0","0","0","1","임차","","개인","","","","",
"39","물류창고업체","11_45_02_P","6260000","2012S62600000017","20120801","","03","폐업","3","폐업","20150310","","","","0514425320","","604804","부산광역시 사하구 감천동 344번지 9호","부산광역시 사하구 원양로 339 (감천동)","","(주)글로벌익스프레스","20150310173213","I","2018-08-31 23:59:59.0","","382775.046517958","177635.870772458","0","0","0","0","6612","1","임차","","개인","","","","",
"40","물류창고업체","11_45_02_P","6260000","2012S62600000018","20120802","","03","폐업","3","폐업","20170420","","","","0516363751","","","부산광역시 금정구 금사동 39번지 1호","부산광역시 금정구 공단동로41번길 21 (금사동)","","(주)동부택배","20170420171909","I","2018-08-31 23:59:59.0","","392561.145131783","193279.227550163","1","1822","0","0","0","1","임차","","개인","","","","",
"41","물류창고업체","11_45_02_P","6260000","2012S62600000020","20120803","","03","폐업","3","폐업","20150309","","","","0516365734","","608803","부산광역시 남구 감만동 521번지 10호","부산광역시 남구 북항로 132 (감만동)","","(주)한진(감만CY)","20150309145652","I","2018-08-31 23:59:59.0","","389524.446933068","180891.186769773","0","0","0","0","14088","1","자가","","법인","","","","",
"42","물류창고업체","11_45_02_P","6260000","2012S62600000021","20120803","","03","폐업","3","폐업","20181130","","","","0517403000","","","부산광역시 해운대구 재송동 828번지","부산광역시 해운대구 센텀동로 210 (재송동)","","(주)한진(동부산센터)","20190626153944","U","2019-06-28 02:40:00.0","","392904.414428107","189399.988560677","1","9051","0","0","0","1","자가","","개인","","","","",
"43","물류창고업체","11_45_02_P","6260000","2012S62600000022","20120803","","03","폐업","3","폐업","","","","","0518313762","","618820","부산광역시 강서구 송정동 1705번지","부산광역시 강서구 녹산산단178로 37-14 (송정동)","","DHL플라이체인코리아(주)","20130828140500","I","2018-08-31 23:59:59.0","","367530.094268132","177773.0050142","1","1966","0","0","0","1","임차","","개인","","","","",
"44","물류창고업체","11_45_02_P","6260000","2012S62600000024","20120803","","03","폐업","3","폐업","20170710","","","","0319341216","","","부산광역시 사상구 학장동  716번지 3호","부산광역시 사상구 감전천로 200 (학장동)","","(주)인터파크로지스틱스","20170710131424","I","2018-08-31 23:59:59.0","","380055.267609955","185335.25327941","3","1990.4","0","0","0","1","임차","","개인","","","","",
"45","물류창고업체","11_45_02_P","6260000","2012S62600000002","20120702","","04","취소/말소/만료/정지/중지","6","직권(합병)말소","","","","","0516671531","","601843","부산광역시 동구 범일동 825번지 13호","부산광역시 동구 자성로140번길 53 (범일동)","","(주)복산나이스","20160525103254","I","2018-08-31 23:59:59.0","","388029.359872308","183733.580507976","1","4808.46","0","0","0","1","자가","","개인","1","","","",
"46","물류창고업체","11_45_02_P","6260000","2012S62600000015","20120801","","04","취소/말소/만료/정지/중지","6","직권(합병)말소","","","","","0519907749","","617814","부산광역시 사상구 덕포동 391번지 1호","부산광역시 사상구 사상로355번길 55 (덕포동)","","씨제이지엘에스(주)","20160128140152","I","2018-08-31 23:59:59.0","","380380.348711259","188186.809282837","0","0","0","0","6281","1","임차","","개인","","","","",
