"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"52","승강기유지관리업체","11_48_01_P","6260000","626000000110","20030401","","01","영업/정상","1","인허가","","","","","0513101628","","617723","부산광역시 사상구 감전동 502번지 1호 마트월드상가 B동 224호","부산광역시 사상구 낙동대로 910, B동 2층 224호 (감전동,마트월드상가)","617723","(주)뉴택산전","20191122105127","U","2020-04-28 02:40:00.0","","379554.826788136","184301.128962735","유지관리","중저속엘리베이터,휠체어리프트","200000000","","700","1","0","","","","7","","5","1","","본점","",
"53","승강기유지관리업체","11_48_01_P","6260000","626000000113","20040113","","01","영업/정상","1","인허가","","","","","0517429994","","","부산광역시 해운대구 재송동 485-4","부산광역시 해운대구 재반로 51 (재송동)","48056","(주)세종테크","20200228150245","U","2020-04-28 02:40:00.0","","393617.167591298","189175.368756995","유지관리","중저속엘리베이터,휠체어리프트","200000000","","700","1","0","","","1","7","","7","1","","본점","",
"54","승강기유지관리업체","11_48_01_P","6260000","626000000069","19971111","","01","영업/정상","1","인허가","","","","","0513043204","","617838","부산광역시 사상구 주례3동  1162번지 130호 대일빌딩 2층","부산광역시 사상구 가야대로 260, 2층 (주례동,대일빌딩)","617838","삼보엘리베이터(주)","20200324142926","U","2020-04-28 02:40:00.0","","382279.405050585","185254.427641606","유지관리","중저속엘리베이터,에스컬레이터","210000000","200000000","1,700","2","0","","","","19","","10","3","","본점","",
"55","승강기유지관리업체","11_48_01_P","6260000","626000000121","20050728","","01","영업/정상","1","인허가","","","","","0517470306","","607837","부산광역시 동래구 온천동 1394번지 1호  A동","부산광역시 동래구 충렬대로 75, A동 2층 (온천동)","607837","신한엘리베이터(주)","20200312141420","U","2020-04-28 02:40:00.0","","388371.72175458","191913.024120932","유지관리","없음","100000000","130000000","900","1","0","","","","10","4","3","1","","본점","",
"56","승강기유지관리업체","11_48_01_P","6260000","626000000126","20060804","","01","영업/정상","1","인허가","","","","","0515128115","","609816","부산광역시 금정구 남산동 987번지 3호 영창빌딩","부산광역시 금정구 남산로 39, 5층 (남산동,영창빌딩)","609816","부성엘리베이터(주)","20200407142341","U","2020-04-28 02:40:00.0","","389920.667351233","198389.90766378","유지관리","없음","100000000","","1,800","2","0","","","","16","","","","","본점","",
"57","승강기유지관리업체","11_48_01_P","6260000","626000000129","20061127","","01","영업/정상","1","인허가","","","","","0518977003","","614801","부산광역시 부산진구 가야동 143번지 48호 윤정빌딩 3층","부산광역시 부산진구 가야대로 517, 3층 (가야동,윤정빌딩)","614801","(주)아남테크서비스","20200330162519","U","2020-04-28 02:40:00.0","","384774.798846787","185717.12959147","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","350000000","","700","1","0","","","","7","1","6","1","","본점","",
"58","승강기유지관리업체","11_48_01_P","6260000","626000000091","19991203","","01","영업/정상","1","인허가","","","","","0518095428","","614862","부산광역시 부산진구 전포2동  172번지 1호 4층","부산광역시 부산진구 동성로118번길 31, 4층 (전포동)","614862","(주)이엠씨","20191108155508","U","2020-04-28 02:40:00.0","","388166.138964056","186669.48470476","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","100000000","900","1","0","","","","9","","12","3","","본점","",
"59","승강기유지관리업체","11_48_01_P","6260000","626000000133","20071107","","01","영업/정상","1","인허가","","","","","0515572675","","","부산광역시 강서구 대저2동 3138-1","부산광역시 강서구 유통단지1로 50, 티플렉스 202동 212호 (대저2동)","46721","비엘티중앙엘리베이터(주)","20200319152518","U","2020-04-28 02:40:00.0","","377988.03993089","187305.367579412","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","","700","1","0","","","","7","","","","","본점","",
"60","승강기유지관리업체","11_48_01_P","6260000","626000000124","20060210","","01","영업/정상","1","인허가","","","","","0518036633","","614842","부산광역시 부산진구 부전1동  390번지 1호 고려빌딩 3층","부산광역시 부산진구 부전로 146, 3층 (부전동,고려빌딩)","614842","(주)송원엘리베이터","20200403101605","U","2020-04-28 02:40:00.0","","387406.067019474","186676.305414942","유지관리","중저속엘리베이터,휠체어리프트","100000000","","700","1","0","","","","7","5","3","","","본점","",
"61","승강기유지관리업체","11_48_01_P","6260000","626000000166","20220504","","01","영업/정상","1","인허가","","","","","0518081642","","48076","부산광역시 해운대구 좌동 1420번지 한국통신 407호","부산광역시 해운대구 좌동순환로217번길 24, 한국통신 4층 407호(좌동)","48076","현진엘리베이터(주)","20220504094824","I","2022-05-06 00:22:32.0","","398720.306720092","188545.64353842","유지관리","","250000000","","1,000","1","","","","","7","","","","","본점","",
"62","승강기유지관리업체","11_48_01_P","6260000","626000000136","20090227","","03","폐업","2","폐지","20140811","","","","0514173151","","604804","부산광역시 사하구 감천1동  344번지 2호 삼성냉장 204호","부산광역시 사하구 원양로 313, 204호 (감천동,삼성냉장)","604804","반도기전","20111107164441","I","2018-08-31 23:59:59.0","","382805.546586586","177378.023270134","유지관리","","111407000","","100","2","3","","","","5","","","","","","",
"63","승강기유지관리업체","11_48_01_P","6260000","626000000143","20110620","","03","폐업","2","폐지","20140812","","","","0513147806","","617764","부산광역시 사상구 주례3동 530번지 5호 현대무지개타운아파트관리동 1동 B-5호","부산광역시 사상구 주례로 101, 1동 B-5호 (주례동,현대무지개타운아파트관리동)","617764","(주)대성엘리베이터","20111107162311","I","2018-08-31 23:59:59.0","","382696.80654055","184731.028529187","유지관리","","200000000","","100","2","3","","","","22","","","","","","",
"64","승강기유지관리업체","11_48_01_P","6260000","626000000077","20000212","","03","폐업","2","폐지","","","","","0518655717","","611081","부산광역시 연제구 연산1동   104번지 56호","부산광역시 연제구 과정로 358 (연산동)","","(주)조봉","20070403134211","I","2018-08-31 23:59:59.0","","390273.938197218","190069.085512369","유지관리","","11000000000","19500000000","100","2","3","","","2","13","2","8","1","","","",
"65","승강기유지관리업체","11_48_01_P","6260000","626000000089","19991023","","03","폐업","2","폐지","","","","","0513376422","","616093","부산광역시 북구 구포3동   1217번지 3호","부산광역시 북구 시랑로 52 (구포동)","","주식회사 이엠씨","20070403134317","I","2018-08-31 23:59:59.0","","382510.046684411","190925.733866127","유지관리","","100000000","100000000","500","2","7","","","","9","9","","","","","",
"66","승강기유지관리업체","11_48_01_P","6260000","626000000094","20030527","","03","폐업","2","폐지","","","","","0514417479","","601011","부산광역시 동구 초량1동   1212번지 22호 대창303호","부산광역시 동구 중앙대로180번길 12-4 (초량동,대창303호)","","(주)남도엘리베이터","20070403132731","I","2018-08-31 23:59:59.0","","385893.062825117","181198.287019303","유지관리","","100000000","100000000","100","2","3","","","","6","5","","1","","","",
"67","승강기유지관리업체","11_48_01_P","6260000","626000000061","19970301","","03","폐업","2","폐지","","","","","0515574913","","607062","부산광역시 동래구 온천2동   750번지 61호","부산광역시 동래구 중앙대로1367번길 32-3 (온천동)","","(주)이엘","19700101000000","I","2018-08-31 23:59:59.0","","388988.855779332","192048.926538463","유지관리","","210000000","685,000,000","200","","","","","","29","2","8","9","","","",
"68","승강기유지관리업체","11_48_01_P","6260000","626000000014","19930111","","03","폐업","2","폐지","","","","","0515150334","","609311","부산광역시 금정구 구서1동   85번지 11호","부산광역시 금정구 금정로237번길 30 (구서동)","","금성기전(주)","19700101000000","I","2018-08-31 23:59:59.0","","390310.213333285","196260.063760682","유지관리","","15000000000","","100","1","","","","1","46","42","","3","","","",
"69","승강기유지관리업체","11_48_01_P","6260000","626000000023","19930317","","03","폐업","2","폐지","","","","","0513125085","","617051","부산광역시 사상구 감전1동   123번지 24호","부산광역시 사상구 괘감로 62 (감전동)","","부성산업","19700101000000","I","2018-08-31 23:59:59.0","","380468.264719077","186114.909662683","유지관리","","30000000","10,000,000","100","1","","","","14","28","3","10","1","","","",
"70","승강기유지관리업체","11_48_01_P","6260000","626000000028","19930507","","03","폐업","2","폐지","","","","","","","617081","부산광역시 사상구 모라1동   728번지 10호","부산광역시 사상구 모덕로 85 (모라동)","","건영E/L","19700101000000","I","2018-08-31 23:59:59.0","","380795.211180325","188728.083213449","유지관리","","60000000","60,000,000","100","1","","","","1","12","4","5","2","","","",
"71","승강기유지관리업체","11_48_01_P","6260000","626000000034","19930802","","03","폐업","2","폐지","","","","","","","611088","부산광역시 연제구 연산8동   370번지 18호","부산광역시 연제구 과정로 275 (연산동)","","백산E/L","19700101000000","I","2018-08-31 23:59:59.0","","390949.0743211","189630.91050007","유지관리","","40000000","","100","1","","","","","6","2","4","","","","",
"72","승강기유지관리업체","11_48_01_P","6260000","626000000039","19940112","","03","폐업","2","폐지","","","","","0515010098","","611070","부산광역시 연제구 거제동   207번지 3호","부산광역시 연제구 여고로 84 (거제동)","","재영설비산업(주)","19700101000000","I","2018-08-31 23:59:59.0","","388701.127426759","190543.958709322","유지관리","","50000000","80,000,000","100","2","3","","","4","11","3","2","2","","","",
"73","승강기유지관리업체","11_48_01_P","6260000","626000000049","19950502","","03","폐업","2","폐지","","","","","0513284253","","617051","부산광역시 사상구 감전1동   125번지 3호","부산광역시 사상구 괘감로 14 (감전동)","","계복E/L","19700101000000","I","2018-08-31 23:59:59.0","","380001.164719592","186175.576480455","유지관리","","30000000","60,000,000","100","1","","","","","7","1","5","1","","","",
"74","승강기유지관리업체","11_48_01_P","6260000","626000000055","19960506","","03","폐업","2","폐지","","","","","0517228284","","619903","부산광역시 기장군 기장읍 대라리 971번지 금강궁전아파트상가 502호","부산광역시 기장군 기장읍 차성남로 13-6, 502호 (금강궁전아파트상가)","619903","대림엘리베이터","20111109174233","I","2018-08-31 23:59:59.0","","401099.438865717","195849.404257866","유지관리","","159000000","175000000","100","2","3","","","","6","","6","","","","",
"75","승강기유지관리업체","11_48_01_P","6260000","626000000043","19940831","","03","폐업","2","폐지","","","","","","","600101","부산광역시 중구 대창동1가   51번지","부산광역시 중구 해관로 89 (대창동1가)","","동양E/L","19700101000000","I","2018-08-31 23:59:59.0","","385507.640529964","180548.792611588","유지관리","","20000000","130,000,000","100","1","","","","","33","5","18","10","","","",
"76","승강기유지관리업체","11_48_01_P","6260000","626000000065","19990604","","03","폐업","2","폐지","","","","","0517610477","","613103","부산광역시 수영구 광안3동   98번지 32호","부산광역시 수영구 수영로 662 (광안동)","","(주)반도E/L","20070403134416","I","2018-08-31 23:59:59.0","","392617.039888314","187113.385286547","유지관리","","100000000","200.000.000","100","2","3","","","","6","5","","1","","","",
"77","승강기유지관리업체","11_48_01_P","6260000","626000000153","20151103","","03","폐업","2","폐지","20180103","","","","0514610055","","","부산광역시 동구 초량동 1169번지 13호","부산광역시 동구 중앙대로 262 (초량동)","48731","케이비유니온개발(주)","20170726110819","I","2018-08-31 23:59:59.0","","386151.348772833","182004.96097576","유지관리","없음","1050000000","","500","1","3","","","","8","","","","","본점","",
"78","승강기유지관리업체","11_48_01_P","6260000","626000000156","20161101","","03","폐업","2","폐지","20180607","","","","0318658473","","","경기도 양주시 율정동 214번지","경기도 양주시 율정로165번길 220-11 (율정동)","11475","(주)세명엘리베이터부산지점","20170801095648","I","2018-08-31 23:59:59.0","","209404.996521892","480944.360078274","유지관리","없음","400000000","","700","1","0","","","","7","","","","","지점","",
"79","승강기유지관리업체","11_48_01_P","6260000","626000000018","19930112","","03","폐업","2","폐지","20190911","","","","0512463940","","","부산광역시 중구 영주동 60번지 34호","부산광역시 중구 동영로 113-1 (영주동)","48910","타워엘리베이터","20181227112330","U","2019-03-23 02:40:00.0","","385371.161800823","181167.670605242","유지관리","중저속엘리베이터,휠체어리프트","140000000","111000000","900","1","0","","","","9","","8","1","","본점","",
"80","승강기유지관리업체","11_48_01_P","6260000","626000000029","19930521","","03","폐업","2","폐지","","","","","","","602010","부산광역시 서구 충무동   23번지 7호","부산광역시 서구 충무대로276번길 15 (충무동1가)","","동원E/L","19700101000000","I","2018-08-31 23:59:59.0","","384600.278550427","179218.01120694","유지관리","","12000000","44,000,000","100","1","","","","","6","1","5","","","","",
"81","승강기유지관리업체","11_48_01_P","6260000","626000000149","20140901","","03","폐업","2","폐지","20180930","","","","0518637994","","614856","부산광역시 부산진구 양정동 394번지 3호 원봉빌딩","부산광역시 부산진구 거제대로36번길 26, 5층 (양정동,원봉빌딩)","614856","(주)원엔터프라이즈","20170821180012","I","2018-08-31 23:59:59.0","","388423.564378881","187785.194320347","유지관리","중저속엘리베이터,에스컬레이터","700000000","","700","1","3","","","","7","","","","","본점","",
"82","승강기유지관리업체","11_48_01_P","6260000","626000000074","20021016","","03","폐업","2","폐지","","","","","0515012238","","607063","부산광역시 동래구 온천3동   1260번지 25호","부산광역시 동래구 석사북로 55 (온천동)","","(주)은창공영","20070403132850","I","2018-08-31 23:59:59.0","","387868.203227374","191260.27749862","유지관리","","25000000000","21000000000","100","2","3","","","4","11","5","","3","","","",
"83","승강기유지관리업체","11_48_01_P","6260000","626000000084","20060913","","03","폐업","2","폐지","","","","","0513280064","","616852","부산광역시 북구 화명3동   2278번지 1호 화명리버파크오피스텔 603호","부산광역시 북구 학사로 132, 603호 (화명동,화명리버파크오피스텔)","","(주)동보기전","20070403131609","I","2018-08-31 23:59:59.0","","382752.338525747","194623.989405455","유지관리","","100000000","200000000","100","2","3","","","2","8","","6","","","","",
"84","승강기유지관리업체","11_48_01_P","6260000","626000000004","19921224","","03","폐업","2","폐지","","","","","0515313241","","609410","부산 금정구 금사동 105-22","","","대일승강기㈜","20100524113817","I","2018-08-31 23:59:59.0","","","","유지관리","","110000000","802000000","100","3","2","","","5","0","8","7","3","","","",
"85","승강기유지관리업체","11_48_01_P","6260000","626000000052","19950831","","03","폐업","2","폐지","","","","","0514173151","","604804","부산광역시 사하구 감천1동   344번지 2호 (주)삼성냉장 204호","부산광역시 사하구 원양로 313, 204호 (감천동,(주)삼성냉장)","","반도E/L","20071207131431","I","2018-08-31 23:59:59.0","","382805.546586586","177378.023270134","유지관리","","101000000","135000000","100","2","3","","","","6","1","4","1","","","",
"86","승강기유지관리업체","11_48_01_P","6260000","626000000060","19970203","","03","폐업","2","폐지","","","","","0514610947","","601836","부산광역시 동구 초량3동  1153번지 1호 일주빌딩 5층","부산광역시 동구 중앙대로332번길 4, 5층 (초량동,일주빌딩5층)","601836","(주)거화테크","20111103175709","I","2018-08-31 23:59:59.0","","386438.772991473","182616.061979801","유지관리","","700000000","600000000","100","2","3","","","2","12","2","5","3","","","",
"87","승강기유지관리업체","11_48_01_P","6260000","626000000066","19970829","","03","폐업","2","폐지","20130829","","","","0518089784","","614865","부산광역시 부산진구 전포2동  666번지 6호 세화빌딩 지하 101호","부산광역시 부산진구 동천로108번길 36, 101호 (전포동,세화빌딩지하)","614865","삼호산전","20111103180054","I","2018-08-31 23:59:59.0","","388023.776996748","186283.00640944","유지관리","","122000000","112000000","100","2","3","","","","5","","5","","","","",
"88","승강기유지관리업체","11_48_01_P","6260000","626000000073","19980309","","03","폐업","2","폐지","20140805","","","","0518181381","","614871","부산광역시 부산진구 초읍동  105번지 7호","부산광역시 부산진구 월드컵대로474번길 26 (초읍동)","614871","(주)우성","20131218180502","I","2018-08-31 23:59:59.0","","386477.029189971","188955.964217027","유지관리","중저속엘리베이터","1100000000","2279000000","200","3","3","","","9","296","229","5","7","","본점","",
"89","승강기유지관리업체","11_48_01_P","6260000","626000000080","20060403","","03","폐업","2","폐지","","","","","0513040086","","617040","부산 사상구 덕포동 382-1","","","(주)코리아E/L","20070403131905","I","2018-08-31 23:59:59.0","","","","유지관리","","100000000","","100","2","3","","","4","10","","5","1","","","",
"90","승강기유지관리업체","11_48_01_P","6260000","626000000081","19981113","","03","폐업","2","폐지","","","","","0514635730","","601010","부산 동구 초량동 1160-1 한국유리빌딩 302","","","(주)세원산전","20090319160457","I","2018-08-31 23:59:59.0","","","","유지관리","","100000000","117000000","100","2","3","","","","6","2","3","1","","","",
"91","승강기유지관리업체","11_48_01_P","6260000","626000000087","19990407","","03","폐업","2","폐지","","","","","0512545082","","600074","부산 중구 부평동4가 52-3 골든오피스텔 1202호","","","창진산전","20080811131104","I","2018-08-31 23:59:59.0","","","","유지관리","","105000000","105000000","100","2","3","","","","5","","5","","","","",
"92","승강기유지관리업체","11_48_01_P","6260000","626000000088","20060728","","03","폐업","2","폐지","","","","","0518529812","","611080","부산 연제구 연산동 306-28","","","㈜제일엘리베이터","20070403131521","I","2018-08-31 23:59:59.0","","","","유지관리","","100000000","100000000","100","2","3","","","1","7","5","","1","","","",
"93","승강기유지관리업체","11_48_01_P","6260000","626000000090","19990930","","03","폐업","2","폐지","20190104","","","","0516431101","","601719","부산광역시 동구 범일2동 830번지 42호 썬오피스텔 1406호","부산광역시 동구 조방로 39, 1406호 (범일동,썬오피스텔)","601719","협성개발(주)","20171031131638","I","2018-08-31 23:59:59.0","","387727.932157079","184254.180458819","유지관리","중저속엘리베이터,에스컬레이터","1300000000","1360000000","700","1","0","","","6","7","","5","5","","본점","",
"94","승강기유지관리업체","11_48_01_P","6260000","626000000093","20051004","","03","폐업","2","폐지","","","","","0515215751","","607040","부산 동래구 낙민동 94-1 동원아파트관리동 3층","","","(주)부경엘리베이터","20070403132137","I","2018-08-31 23:59:59.0","","","","유지관리","","10000000","","100","0","0","","","","2","","","","","","",
"95","승강기유지관리업체","11_48_01_P","6260000","626000000096","20060123","","03","폐업","2","폐지","","","","","0517541676","","613103","부산 수영구 광안3동 1027-28","","","우원엘리베이터(주)","20070403131938","I","2018-08-31 23:59:59.0","","","","유지관리","","1000000","1000000","100","2","3","","","","5","","5","","","","",
"96","승강기유지관리업체","11_48_01_P","6260000","626000000097","20000915","","03","폐업","2","폐지","20130611","","","","0517831301","","612831","부산광역시 해운대구 재송1동  1105번지 7호","부산광역시 해운대구 해운대로143번길 32 (재송동)","612831","(주)극동엘리베이터","20130111142743","I","2018-08-31 23:59:59.0","","393296.828120177","189342.808640079","유지관리","","100000000","100000000","100","2","3","","","","6","","5","1","","","",
"97","승강기유지관리업체","11_48_01_P","6260000","626000000100","20001122","","03","폐업","2","폐지","","","","","0517829002","","612052","부산 해운대구 재송2동 1060-7","","","(주)세종엘리베이터","20070720131651","I","2018-08-31 23:59:59.0","","","","유지관리","","200000000","","100","2","3","","","4","12","","7","1","","","",
"98","승강기유지관리업체","11_48_01_P","6260000","626000000103","20011226","","03","폐업","2","폐지","20151130","","","","0516226214","","608800","부산광역시 남구 감만2동  44번지 2호 하얏트아파트상가 1층","부산광역시 남구 전선등로 31, 1층 (감만동,하얏트아파트상가)","608800","성창엘리베이터","20111104204932","I","2018-08-31 23:59:59.0","","390009.954530414","182543.310800149","유지관리","","120000000","120000000","100","2","3","","","","5","5","","","","","",
"99","승강기유지관리업체","11_48_01_P","6260000","626000000105","20060516","","03","폐업","2","폐지","","","","","0512651161","","604050","부산 사하구 다대동 1518-3","","","(주)유리스","20070403131831","I","2018-08-31 23:59:59.0","","","","유지관리","","200000000","200000000","100","2","3","","","2","7","","5","","","","",
"100","승강기유지관리업체","11_48_01_P","6260000","626000000108","20050706","","03","폐업","2","폐지","","","","","0518319026","","618270","부산 강서구 송정동 1771-10","","","(주)이엔피테크","20070403132231","I","2018-08-31 23:59:59.0","","","","유지관리","","100000000","","100","0","0","","","","3","","","","","","",
"101","승강기유지관리업체","11_48_01_P","6260000","626000000111","20030428","","03","폐업","2","폐지","","","","","0517431470","","612021","부산 해운대구 우1동 1434 선프라자 526호","","","(주)성운엘리베이터","20101126110159","I","2018-08-31 23:59:59.0","","","","유지관리","","100000000","","800","12","0","","","2","14","2","9","1","","","",
"102","승강기유지관리업체","11_48_01_P","6260000","626000000114","20040326","","03","폐업","2","폐지","20150323","","","","0515133066","","607837","부산광역시 동래구 온천2동  1394번지 1호 아마란스 A동 2층","부산광역시 동래구 충렬대로 75, A동 2층 (온천동,아마란스)","607837","한세엘리베이터(주)","20140306165329","I","2018-08-31 23:59:59.0","","388371.72175458","191913.024120932","유지관리","없음","100000000","","100","2","3","","","1","5","","5","1","","","",
"103","승강기유지관리업체","11_48_01_P","6260000","626000000115","20040430","","03","폐업","2","폐지","20160919","","","","0513641147","","617837","부산광역시 사상구 주례1동  886번지 1호","부산광역시 사상구 백양대로 493 (주례동)","617837","안승엘리베이터(주)","20140825100124","I","2018-08-31 23:59:59.0","","381988.207959322","185638.831135063","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","","500","1","3","","","","8","","7","1","","","",
"104","승강기유지관리업체","11_48_01_P","6260000","626000000116","20050114","","03","폐업","2","폐지","","","","","0514610055","","601011","부산광역시 동구 초량1동   1212번지 11호 (해덕빌딩10층)","부산광역시 동구 대영로 261 (초량동,(해덕빌딩10층))","","광명종합기업㈜","20061204100105","I","2018-08-31 23:59:59.0","","385846.371350951","181097.551650065","유지관리","","500000000","","100","2","3","","","4","12","2","3","3","","","",
"105","승강기유지관리업체","11_48_01_P","6260000","626000000118","20050315","","03","폐업","2","폐지","20190927","","","","0518638368","","","부산광역시 부산진구 부전동 474번지 80호 유원골든타워오피스텔 1301호","부산광역시 부산진구 서면문화로 27, 1301호 (부전동,유원골든타워오피스텔)","47257","(주)원봉기업","20190130114458","U","2019-03-23 02:40:00.0","","387225.613588405","186408.726533861","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","450000000","","700","1","0","","","5","7","3","10","3","","본점","",
"106","승강기유지관리업체","11_48_01_P","6260000","626000000045","19950209","","03","폐업","2","폐지","","","","","0516438385","","614024","부산광역시 부산진구 범천4동   980번지 188호","부산광역시 부산진구 신암로 88-1 (범천동)","","광명엔지니어링","19700101000000","I","2018-08-31 23:59:59.0","","387049.493757173","185281.218210321","유지관리","","10000000","13,000,000","100","1","","","","","6","6","","","","","",
"107","승강기유지관리업체","11_48_01_P","6260000","626000000050","19950502","","03","폐업","2","폐지","","","","","0513280064","","617011","부산광역시 사상구 주례1동   929번지 2호","","","신흥E/L","19700101000000","I","2018-08-31 23:59:59.0","","","","유지관리","","20000000","20,000,000","200","1","","","","","8","2","5","1","","","",
"108","승강기유지관리업체","11_48_01_P","6260000","626000000051","19950707","","03","폐업","2","폐지","","","","","0513386505","","616113","부산광역시 북구 만덕3동   767번지 8호","부산광역시 북구 만덕3로 27 (만덕동)","","(주)삼환E/L","19700101000000","I","2018-08-31 23:59:59.0","","384497.599345721","192175.07775802","유지관리","","35000000","35,000,000","900","1","","","","","14","7","7","","","","",
