"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","요양보호사교육기관","11_49_01_P","6260000","201062600000040045-20100706","20100706","","01","영업/정상","0","운영","","","","","0515235339","","","부산광역시 해운대구 재송동 1061-9","부산광역시 해운대구 재반로103번길 14, 2층(재송동)","","해운대요양보호사교육원","20220614102746","U","2022-06-16 02:40:00.0","","","","","","","",
"2","요양보호사교육기관","11_49_01_P","6260000","201062600000040071-20101011","20101011","","01","영업/정상","0","운영","","","","","0513331310","","","부산광역시 북구 덕천동 400-1 동강빌딩","부산광역시 북구 백양대로 1204, 동강빌딩 4층(덕천동)","","덕천요양보호사교육원","20220609091331","U","2022-06-11 02:40:00.0","","","","","","","",
"3","요양보호사교육기관","11_49_01_P","6260000","201562600000040004-20150713","20150713","","01","영업/정상","0","운영","","","","","","","","부산광역시 해운대구 반송동 298번지 1호 2층","부산광역시 해운대구 반송로892번길 8, 2층 (반송동)","","참사랑요양보호사교육원","20220601085318","U","2022-06-03 02:40:00.0","","395809.885957911","194510.188105903","","","","",
"4","요양보호사교육기관","11_49_01_P","6260000","201562600000040006-20151214","20151214","","01","영업/정상","0","운영","","","","","0519444050","","","부산광역시 기장군 기장읍 대라리 168-4 명광빌딩 201호","부산광역시 기장군 기장읍 대청로 42, 명광빌딩 2층","","소망요양보호사교육원","20220401163211","U","2022-04-03 02:40:00.0","","","","","","","",
"5","요양보호사교육기관","11_49_01_P","6260000","201062600000040007-20100604","20100604","","01","영업/정상","0","운영","","","","","0517513663","","","부산광역시 연제구 연산8동   383번지 23호 (2층)","부산광역시 연제구 안연로 1 (연산동,(2층))","","참빛 요양보호사교육원","20220322094437","U","2022-03-24 02:40:00.0","","391287.471122685","189657.605969895","","","","",
"6","요양보호사교육기관","11_49_01_P","6260000","201062600000040070-20101011","20101011","","01","영업/정상","0","운영","","","","","07082402465","","","부산광역시 북구 덕천동 352-8 청림빌딩6층","부산광역시 북구 낙동대로1781번길 1, 청림빌딩 6층 (덕천동)","","삼성실버 요양보호사교육원","20220531132925","U","2022-06-02 02:40:00.0","","","","","","","",
"7","요양보호사교육기관","11_49_01_P","6260000","201062600000040093-20101025","20101025","","01","영업/정상","0","운영","","","","","0512477255","","","부산광역시 중구 동광동4가   230번지 1호 502호","부산광역시 중구 구덕로 37, 6층 (남포동4가)","","성산 요양보호사교육원","20220513110827","U","2022-05-15 02:40:00.0","","","","","","","",
"8","요양보호사교육기관","11_49_01_P","6260000","201062600000040023-20100611","20100611","","01","영업/정상","0","운영","","","","","0516333323","","","부산광역시 부산진구 범천1동   870번지 1호 3층","부산광역시 부산진구 중앙대로 621 (범천동,3층)","","뉴중앙 요양보호사교육원","20220323163135","U","2022-03-25 02:40:00.0","","387558.514002486","185158.362348042","","","","",
"9","요양보호사교육기관","11_49_01_P","6260000","201662600000040001-20160127","20160127","","01","영업/정상","0","운영","","","","","07082702500","","","","부산광역시 동래구 충렬대로137번길 4, 6층 (온천동,상현빌딩)","","동래삼성실버요양보호사교육원","20220602144612","U","2022-06-04 02:40:00.0","","","","","","","",
"10","요양보호사교육기관","11_49_01_P","6260000","201662600000040002-20160127","20160127","","01","영업/정상","0","운영","","","","","0519132450","","","부산광역시 부산진구 범천동 849-19 도문빌딩","부산광역시 부산진구 범일로 190, 도문빌딩 7층(범천동)","","서면삼성실버요양보호사교육원","20220614103737","U","2022-06-16 02:40:00.0","","","","","","","",
"11","요양보호사교육기관","11_49_01_P","6260000","201662600000040003-20160205","20160205","","01","영업/정상","0","운영","","","","","0512640101","","","","부산광역시 사하구 다대로 257, 2층 (장림동)","","새부산요양보호사교육원","20220609092924","U","2022-06-11 02:40:00.0","","","","","","","",
"12","요양보호사교육기관","11_49_01_P","6260000","201662600000040004-20160425","20160425","","01","영업/정상","0","운영","","","","","0515829191","","","","부산광역시 금정구 중앙대로 1719-23, 501호 (부곡동,우남빌딩)","","새고려요양보호사교육원","20220329145326","U","2022-03-31 02:40:00.0","","","","","","","",
"13","요양보호사교육기관","11_49_01_P","6260000","201662600000040005-20160622","20160622","","01","영업/정상","0","운영","","","","","0513202086","","","부산광역시 사상구 주례동 81번지 경남정보대학교","부산광역시 사상구 주례로 45, 경남정보대학교 (주례동)","","경남정보대학교부설 요양보호사교육원","20220419101604","U","2022-04-21 02:40:00.0","","","","","","","",
"14","요양보호사교육기관","11_49_01_P","6260000","201462600000040001-20140523","20140523","","01","영업/정상","0","운영","","","","","0516376609","","","null","부산광역시 동구 범일로102번길 14, 5층 (범일동,조방빌딩)","","범일요양보호사교육원","20161212162242","I","2018-08-31 23:59:59.0","","","","","","","",
"15","요양보호사교육기관","11_49_01_P","6260000","201462600000040002-20140523","20140523","","01","영업/정상","0","운영","","","","","0517284221","","","","부산광역시 기장군 정관면 용수1길 28","","엘림요양보호사교육원","20220411152842","U","2022-04-13 02:40:00.0","","","","","","","",
"16","요양보호사교육기관","11_49_01_P","6260000","201462600000040003-20140701","20140701","","01","영업/정상","0","운영","","","","","0518978232","","","부산광역시 부산진구 개금동 182-13 미래산후조리원6층","부산광역시 부산진구 가야대로 474, 미래산후조리원 6층(개금동)","","가족사랑요양보호사교육원","20210914142229","U","2021-09-16 02:40:00.0","","","","","","","",
"17","요양보호사교육기관","11_49_01_P","6260000","201462600000040004-20140801","20140801","","01","영업/정상","0","운영","","","","","0514632288","","","부산광역시 동구 초량동 1157-7","부산광역시 동구 중앙대로 312, 2,3층 (초량동)","","엘림평생요양보호사교육원","20220613161920","U","2022-06-15 02:40:00.0","","","","","","","",
"18","요양보호사교육기관","11_49_01_P","6260000","201462600000040006-20140904","20140904","","01","영업/정상","0","운영","","","","","0516218211","","","부산광역시 수영구 남천동 28-24","부산광역시 수영구 광남로 35, 302호 (남천동)","","안심생활 요양보호사교육원","20211220133537","U","2021-12-22 02:40:00.0","","","","","","","",
"19","요양보호사교육기관","11_49_01_P","6260000","201462600000040007-20141028","20141028","","01","영업/정상","0","운영","","","","","0515816999","","","부산광역시 금정구 부곡동 296번지 1호 한창빌딩 503호","부산광역시 금정구 부곡로141번길 1, 한창빌딩 (부곡동)","","금정요양보호사교육원","20220210132604","U","2022-02-12 02:40:00.0","","390364.441258757","194122.808322223","","","","",
"20","요양보호사교육기관","11_49_01_P","6260000","201462600000040008-20141216","20141216","","01","영업/정상","0","운영","","","","","0516370117","","","부산광역시 부산진구 범천동 858번지 64호 유성빌딩 7층","부산광역시 부산진구 황령대로 9, 7층 (범천동,유성빌딩)","","누리요양보호사교육원","20160330172732","I","2018-08-31 23:59:59.0","","387707.677456944","185138.712920561","","","","",
"21","요양보호사교육기관","11_49_01_P","6260000","201562600000040002-20150506","20150506","","01","영업/정상","0","운영","","","","","0512664950","","","null","부산광역시 사하구 다대낙조2길 3, 5층 (다대동,몰운대교육센터)","","은빛요양보호사교육원","20220613162011","U","2022-06-15 02:40:00.0","","","","","","","",
"22","요양보호사교육기관","11_49_01_P","6260000","201662600000040006-20160725","20160725","","01","영업/정상","0","운영","","","","","0512033223","","","부산광역시 사하구 괴정동 900-1 화원레샹스","부산광역시 사하구 낙동대로 246, (괴정동, 화원 레샹스)","","사하요양보호사교육원","20220110132843","U","2022-01-12 02:40:00.0","","","","","","","",
"23","요양보호사교육기관","11_49_01_P","6260000","201662600000040007-20160824","20160824","","01","영업/정상","0","운영","","","","","","","","","부산광역시 북구 시랑로 12, 4층 (구포동,구포정형외과)","","구포요양보호사교육원","20220609091218","U","2022-06-11 02:40:00.0","","","","","","","",
"24","요양보호사교육기관","11_49_01_P","6260000","201662600000040009-20161116","20161116","","01","영업/정상","0","운영","","","","","","","","null","부산광역시 남구 수영로 193, 3층 (대연동)","","참좋은요양보호사교육원","20210127132854","U","2021-01-29 02:40:00.0","","","","","","","",
"25","요양보호사교육기관","11_49_01_P","6260000","201762600000040002-20170222","20170222","","01","영업/정상","0","운영","","","","","","","","null","부산광역시 동구 범일로102번길 18, 3층 (범일동)","","하나 요양보호사 교육원","20200122095405","U","2020-01-24 02:40:00.0","","","","","","","",
"26","요양보호사교육기관","11_49_01_P","6260000","201762600000040003-20170411","20170411","","01","영업/정상","0","운영","","","","","0516372992","","","","부산광역시 부산진구 황령대로 9 (범천동)","","BHS좋은 요양보호사 교육원","20211208095650","U","2021-12-10 02:40:00.0","","","","","","","",
"27","요양보호사교육기관","11_49_01_P","6260000","201762600000040004-20170724","20170724","","01","영업/정상","0","운영","","","","","0515319018","","","부산광역시 동래구 온천동 1423-1","부산광역시 동래구 미남로 148 (온천동)","","(주)동부요양보호사교육원","20220622105452","U","2022-06-24 02:40:00.0","","","","","","","",
"28","요양보호사교육기관","11_49_01_P","6260000","201762600000040005-20170724","20170724","","01","영업/정상","0","운영","","","","","0513115858","","","","부산광역시 사상구 가야대로 260, 3층 (주례동)","","(주)북부산 요양보호사 교육원","20211228121958","U","2021-12-30 02:40:00.0","","","","","","","",
"29","요양보호사교육기관","11_49_01_P","6260000","201062600000040001-20100604","20100604","","01","영업/정상","0","운영","","","","","0518683411","","","부산광역시 부산진구 양정2동   260번지 1호 (2층)","부산광역시 부산진구 동평로405번길 97 (양정동,(2층))","","정암 요양보호사교육원","20220311181559","U","2022-03-13 02:40:00.0","","388698.594636917","188468.292337914","","","","",
"30","요양보호사교육기관","11_49_01_P","6260000","201062600000040036-20100622","20100622","","01","영업/정상","0","운영","","","","","0513619306","","","부산광역시 북구 화명동 2271-6 범서미라클","부산광역시 북구 화명신도시로 127, 범서미라클 6층(화명동)","26320","나누리요양보호사교육원","20220316100749","U","2022-03-18 02:40:00.0","","382956.769988435","194748.976836055","","","","",
"31","요양보호사교육기관","11_49_01_P","6260000","201062600000040035-20100622","20100622","","01","영업/정상","0","운영","","","","","0513351919","","","부산광역시 북구 구포동 599-5","부산광역시 북구 구포시장길 1, 4층(구포동)","26320","부경 요양보호사교육원","20220329095628","U","2022-03-31 02:40:00.0","","382384.729354655","191844.412093328","","","","",
"32","요양보호사교육기관","11_49_01_P","6260000","201062600000040005-20100604","20100604","","01","영업/정상","0","운영","","","","","0518520540","","","부산광역시 연제구 거제3동   457번지 10호 이안빌딩(6층)","부산광역시 연제구 거제천로 89 (거제동,이안빌딩(6층))","","부산돌봄 요양보호사교육원","20220610094112","U","2022-06-12 02:40:00.0","","388767.180650409","188975.241231053","","","","",
"33","요양보호사교육기관","11_49_01_P","6260000","201062600000040006-20100604","20100604","","01","영업/정상","0","운영","","","","","0517245651","","","부산광역시 기장군 정관면 달산리 1221번지 3호","부산광역시 기장군 장안읍 정관로 716, 3층 (부영빌딩)","","평생비젼 요양보호사교육원","20220610093905","U","2022-06-12 02:40:00.0","","","","","","","",
"34","요양보호사교육기관","11_49_01_P","6260000","201062600000040008-20100604","20100604","","01","영업/정상","0","운영","","","","","0517142662","","","부산광역시 해운대구 좌동 1473-1 해운대대림아크로텔 313~316호","부산광역시 해운대구 해운대로 790, 해운대대림아크로텔 3층 313~316호(좌동)","","보성요양보호사교육원","20220628092627","U","2022-06-30 02:40:00.0","","","","","","","",
"35","요양보호사교육기관","11_49_01_P","6260000","201062600000040059-20100902","20100902","","01","영업/정상","0","운영","","","","","0512037474","","","부산광역시 사하구 괴정동 356-1 제일빌딩","부산광역시 사하구 까치고개로 5, 제일빌딩 2층(괴정동)","","뉴제일 요양보호사교육원","20211208150634","U","2021-12-10 02:40:00.0","","378902.950423469","180077.763592253","","","","",
"36","요양보호사교육기관","11_49_01_P","6260000","201062600000040065-20100917","20100917","","01","영업/정상","0","운영","","","","","0516230698","","","부산광역시 남구 대연동 1086-12","부산광역시 남구 석포로 127-1, 3층 (대연동)","","새참빛 요양보호사교육원","20220225163643","U","2022-02-27 02:40:00.0","","","","","","","",
"37","요양보호사교육기관","11_49_01_P","6260000","201062600000040024-20100611","20100611","","01","영업/정상","0","운영","","","","","0513267600","","","부산광역시 사상구 괘법동   558번지 2호 송원센터빌딩 10층","부산광역시 사상구 광장로 76 (괘법동,송원센터빌딩 10층)","","사상여성인력개발센터","20190819092713","U","2019-08-21 02:40:00.0","","380764.997170791","186517.111361272","","","","",
"38","요양보호사교육기관","11_49_01_P","6260000","201062600000040026-20100611","20100611","","01","영업/정상","0","운영","","","","","0515142028","","","부산광역시 금정구 부곡1동   387번지 3호 태안에버빌 201호","부산광역시 금정구 오시게로54번길 27 (부곡동,태안에버빌 201호)","","부곡 요양보호사교육원","20220114102230","U","2022-01-16 02:40:00.0","","390154.213594784","193357.752302511","","","","",
"39","요양보호사교육기관","11_49_01_P","6260000","201062600000040019-20100611","20100611","","01","영업/정상","0","운영","","","","","0512428823","","","부산광역시 서구 부민동2가 7-11","부산광역시 서구 임시수도기념로 22, 2층(부민동2가)","","한국실버 요양보호사교육원","20220609092332","U","2022-06-11 02:40:00.0","","","","","","","",
"40","요양보호사교육기관","11_49_01_P","6260000","201062600000040044-20100706","20100706","","01","영업/정상","0","운영","","","","","0512028850","","","부산광역시 사하구 하단동 484번지 1호 3층","부산광역시 사하구 낙동대로 423, 3층 (하단동)","","하단레몬요양보호사 교육원","20220428092818","U","2022-04-30 02:40:00.0","","378603.484341406","180961.765802642","","","","",
"41","요양보호사교육기관","11_49_01_P","6260000","201062600000040049-20100715","20100715","","01","영업/정상","0","운영","","","","","0518650070","","","부산광역시 연제구 연산5동  뉴그랜드오피스텔 1204호","","","셀리번 요양보호사교육원","20211228102201","U","2021-12-30 02:40:00.0","","","","","","","",
"42","요양보호사교육기관","11_49_01_P","6260000","201062600000040048-20100715","20100715","","01","영업/정상","0","운영","","","","","0516215619","","","부산광역시 남구 용호2동   554번지 19호","부산광역시 남구 용호로 247 (용호동)","","고려 요양보호사교육원","20190304173209","U","2019-03-06 02:40:00.0","","392451.569213376","181050.544105442","","","","",
"43","요양보호사교육기관","11_49_01_P","6260000","201062600000040067-20101011","20101011","","01","영업/정상","0","운영","","","","","0512414555","","","부산광역시 중구 중앙동4가   26번지 11호 삼창빌딩 3층","부산광역시 중구 중앙대로 78 (중앙동4가,삼창빌딩 3층)","","로뎀나무아래 요양보호사교육원","20220617091247","U","2022-06-19 02:40:00.0","","385623.826764144","180282.579541894","","","","",
"44","요양보호사교육기관","11_49_01_P","6260000","201062600000040025-20100611","20100611","","01","영업/정상","0","운영","","","","","0515272311","","","부산광역시 동래구 명장동 62번지 19호","부산광역시 동래구 반송로 274, 2층층 (명장동)","","한국 요양보호사교육원","20211227110902","U","2021-12-29 02:40:00.0","","391292.788765544","191459.462825103","","","","",
"45","요양보호사교육기관","11_49_01_P","6260000","201062600000040012-20100605","20100605","","01","영업/정상","0","운영","","","","","0513387769","","","부산광역시 북구 덕천1동   379번지 10호","부산광역시 북구 만덕대로 75 (덕천동)","","한마음 요양보호사교육원","20190208133342","U","2019-02-10 02:40:00.0","","383223.589162415","192192.633054867","","","","",
"46","요양보호사교육기관","11_49_01_P","6260000","201062600000040080-20101019","20101019","","01","영업/정상","0","운영","","","","","0514130675","","","부산광역시 영도구 봉래동3가 32번지 1호","부산광역시 영도구 절영로7번길 70 (봉래동3가)","","은혜 요양보호사교육원","20220412133941","U","2022-04-14 02:40:00.0","","386314.397012212","178919.973299907","","","","",
"47","요양보호사교육기관","11_49_01_P","6260000","201062600000040085-20101019","20101019","","01","영업/정상","0","운영","","","","","0516211488","","","부산광역시 남구 용호4동   541번지 53호","부산광역시 남구 용호로 222 (용호동)","","반석 요양보호사교육원","20220310181250","U","2022-03-12 02:40:00.0","","392370.49360385","181302.278791548","","","","",
"48","요양보호사교육기관","11_49_01_P","6260000","201062600000040073-20101011","20101011","","01","영업/정상","0","운영","","","","","0515245243","","","부산광역시 동래구 명장동   29번지 124호","부산광역시 동래구 명안로85번길 52, 명장랜드마크 8층 (명장동)","","새원 요양보호사교육원","20220413101947","U","2022-04-15 02:40:00.0","","391247.903308578","191464.279275904","","","","",
"49","요양보호사교육기관","11_49_01_P","6260000","201062600000040075-20101011","20101011","","01","영업/정상","0","운영","","","","","0518924808","","","부산광역시 부산진구 당감1동   252번지 13호 3층 301호","부산광역시 부산진구 당감로 10 (당감동,3층 301호)","","당감 요양보호사교육원","20220117162814","U","2022-01-19 02:40:00.0","","385805.72482693","186723.265750111","","","","",
"50","요양보호사교육기관","11_49_01_P","6260000","201062600000040003-20100603","20100603","","01","영업/정상","0","운영","","","","","0518181004","","","부산광역시 부산진구 부전1동   401번지 21호 한성빌딩(2층)","부산광역시 부산진구 새싹로 29 (부전동,한성빌딩(2층))","","천사 요양보사교육원","20220610094615","U","2022-06-12 02:40:00.0","","387328.431795974","186510.81133523","","","","",
"51","요양보호사교육기관","11_49_01_P","6260000","201562600000040003-20150612","20150612","","03","폐업","1","폐지","20171229","","","","0515539996","","","","부산광역시 동구 중앙대로 324, 8층 (초량동,한화생명)","","부산진요양보호사교육원","20170201100830","I","2018-08-31 23:59:59.0","","","","","","","",
"52","요양보호사교육기관","11_49_01_P","6260000","201562600000040005-20151028","20151028","","03","폐업","1","폐지","20161230","","","","","","","null","부산광역시 금정구 중앙대로 1927, 5층 (구서동)","","두실요양보호사교육원","20160330172152","I","2018-08-31 23:59:59.0","","","","","","","",
"53","요양보호사교육기관","11_49_01_P","6260000","201562600000040007-20151218","20151218","","03","폐업","1","폐지","20160610","","","","0513146222","","","null","부산광역시 사상구 사상로 337, 2층 (덕포동)","","미주요양보호사교육원","20151229141442","I","2018-08-31 23:59:59.0","","","","","","","",
"54","요양보호사교육기관","11_49_01_P","6260000","201062600000040099-20101026","20101026","","03","폐업","1","폐지","20120416","","","","0515252678","","","부산광역시 해운대구 재송동   1209번지 센텀IS타워 504호","부산광역시 해운대구 반여로155번나길 5 (반여동)","26350","사랑샘 요양보호사교육원","20110315181258","I","2018-08-31 23:59:59.0","","393369.320793096","191732.64589976","","","","",
"55","요양보호사교육기관","11_49_01_P","6260000","201062600000040029-20100622","20100622","","03","폐업","1","폐지","20181129","","","","0517140194","","","부산광역시 동구 초량동 1152번지 1호","부산광역시 동구 중앙대로 328, 503호 (초량동,금산빌딩)","","대한 요양보호사교육원","20180223110310","I","2018-08-31 23:59:59.0","","386410.615098513","182607.916566205","","","","",
"56","요양보호사교육기관","11_49_01_P","6260000","201062600000040054-20100811","20100811","","03","폐업","1","폐지","20161208","","","","0515011988","","","부산광역시 동래구 온천3동   1411번지 47호","부산광역시 동래구 아시아드대로 212-1 (온천동)","","청십자 요양보호사교육원","20160113102108","I","2018-08-31 23:59:59.0","","388135.398337536","191260.584558598","","","","",
"57","요양보호사교육기관","11_49_01_P","6260000","201062600000040096-20101025","20101025","","03","폐업","1","폐지","20111006","","","","0517023382","","","부산 해운대구 좌2동   1479번지 1호 웅신시네아트 A동 308호","부산광역시 해운대구 해운대로 802, A동 308호 (좌동,웅신시네아트)","26350","신도시 요양보호사교육원","20110316092202","I","2018-08-31 23:59:59.0","","398237.363461482","187720.511056894","","","","",
"58","요양보호사교육기관","11_49_01_P","6260000","201062600000040100-20101018","20101018","","03","폐업","1","폐지","20140415","","","","","","","","부산광역시 동구 범일로102번길 14, 5층 (범일동,조방빌딩)","26170","이웃사랑요양보호사교육원","20140502142459","I","2018-08-31 23:59:59.0","","387766.981718924","184134.755033934","","","","",
"59","요양보호사교육기관","11_49_01_P","6260000","201462600000040005-20140826","20140826","","03","폐업","1","폐지","20180209","","","","","","","부산광역시 사하구 장림동 599번지 9호 서진빌딩 7층","부산광역시 사하구 장평로 117, 7층 (장림동,서진빌딩)","","동명요양보호사교육원","20171023150741","I","2018-08-31 23:59:59.0","","379839.949418387","177055.552348263","","","","",
"60","요양보호사교육기관","11_49_01_P","6260000","201062600000040039-20100622","20100622","","03","폐업","1","폐지","20170724","","","","0515319018","","","부산광역시 금정구 서2동   236번지 2호","부산광역시 동래구 미남로 148, 3층층 (온천동)","","동부 요양보호사교육원","20211221165527","U","2021-12-23 02:40:00.0","","391788.802543476","192375.611398659","","","","",
"61","요양보호사교육기관","11_49_01_P","6260000","201062600000040061-20100902","20100902","","03","폐업","1","폐지","20171012","","","","0518088023","","","부산광역시 부산진구 부전2동   226번지 9호 (2층)","부산광역시 부산진구 중앙대로666번길 17, 2층 (부전동,시연빌딩)","","청지기 요양보호사교육원","20171222144910","I","2018-08-31 23:59:59.0","","387542.119327034","185585.098930111","","","","",
"62","요양보호사교육기관","11_49_01_P","6260000","201062600000040097-20101025","20101025","","03","폐업","1","폐지","20110119","","","","0518676005","","","부산광역시 연제구 거제3동   486번지 1호 2층 17호","부산광역시 연제구 거제시장로14번길 28 (거제동,2층 17호)","26470","황산 요양보호사교육원","20101025194714","I","2018-08-31 23:59:59.0","","388745.432070087","188934.356377584","","","","",
"63","요양보호사교육기관","11_49_01_P","6260000","201062600000040074-20101011","20101011","","03","폐업","1","폐지","20150731","","","","0516344881","","","부산광역시 남구 우암1동   3-31","","","(사)한국실버뱅크 부설 남구 요양보호사교육원","20150806155916","I","2018-08-31 23:59:59.0","","","","","","","",
"64","요양보호사교육기관","11_49_01_P","6260000","201562600000040001-20150209","20150209","","03","폐업","1","폐지","","","","","0516070075","","","","부산광역시 부산진구 가야대로 767, 지하1층 (부전동)","","사단법인 한국건강대학 요양보호사교육원","20220322170242","U","2022-03-24 02:40:00.0","","","","","","","",
"65","요양보호사교육기관","11_49_01_P","6260000","201662600000040008-20161028","20161028","","03","폐업","1","폐지","20180411","","","","0518532739","","","null","부산광역시 동구 고관로13번길 32, 2층 (초량동,학영빌딩)","","미래비젼요양보호사교육원장","20170220152146","I","2018-08-31 23:59:59.0","","","","","","","",
"66","요양보호사교육기관","11_49_01_P","6260000","201762600000040001-20170102","20170102","","03","폐업","1","폐지","20171112","","","","0518677557","","","null","부산광역시 수영구 연수로 395, 6층 (수영동,태향빌딩)","","행복동행요양보호사교육원","20200303102909","U","2020-03-05 02:40:00.0","","","","","","","",
